docId,filename,top topics, and contribution to doc ...
29,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse6_10001-12000.txt,27,0.298,26,0.190,12,0.163,44,0.126,10,0.076
30,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse7_12001-14000.txt,26,0.234,27,0.218,44,0.149,12,0.105,10,0.096,3,0.057
31,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse8_14001-16000.txt,26,0.413,27,0.170,10,0.117,12,0.113
32,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\AncreneWisse9_16001-18000.txt,26,0.426,27,0.132,44,0.109,10,0.100,3,0.052
33,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\Bestiary1_1-2000.txt,45,0.623,16,0.087,28,0.054
34,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\Bestiary2_2001-4151.txt,45,0.592,16,0.070
35,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BodyAndSoulL1_1-2000.txt,38,0.523,29,0.069,19,0.065,1,0.057
36,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BodyAndSoulL2_2001-3086.txt,38,0.506,1,0.071,19,0.068
37,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC10_18001-20000.txt,6,0.193,23,0.154,14,0.099,50,0.098,33,0.089,37,0.083,17,0.070
38,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC11_20001-22000.txt,23,0.169,14,0.151,6,0.150,33,0.094,50,0.074,37,0.058
39,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC12_22001-24000.txt,14,0.266,23,0.264,37,0.088,50,0.055
40,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC13_24001-26000.txt,23,0.193,14,0.143,37,0.138,6,0.078,50,0.068,35,0.054,33,0.050
41,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC14_26001-28000.txt,23,0.139,6,0.139,50,0.135,14,0.090,33,0.089,32,0.080,37,0.069
42,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC15_28001-30000.txt,23,0.176,6,0.171,50,0.164,33,0.139,14,0.061,37,0.052
43,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC16_30001-32000.txt,23,0.197,50,0.150,14,0.132,33,0.122,6,0.098
44,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC17_32001-34000.txt,50,0.183,37,0.178,32,0.144,14,0.111,33,0.063,23,0.063,6,0.055
45,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC18_34001-36000.txt,50,0.176,37,0.175,14,0.087,23,0.072,32,0.059,6,0.056
46,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC19_36001-38000.txt,37,0.165,50,0.163,23,0.112,33,0.097,32,0.057,14,0.054
47,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC1_1-2000.txt,40,0.236,6,0.166,30,0.149,33,0.100,14,0.063
48,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC20_38001-40000.txt,50,0.224,23,0.176,33,0.090,37,0.088,14,0.088,6,0.064,2,0.050
49,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC21_40001-42000.txt,50,0.244,37,0.146,23,0.120,33,0.119,14,0.090,6,0.078
50,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC22_42001-44000.txt,14,0.174,50,0.162,33,0.139,39,0.099,6,0.099,23,0.057,37,0.052
51,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC23_44001-46000.txt,50,0.245,23,0.172,14,0.156,33,0.141,37,0.133
52,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC24_46001-48000.txt,50,0.218,23,0.184,33,0.138,14,0.104,37,0.067,39,0.051
53,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC25_48001-50000.txt,50,0.291,33,0.141,23,0.127,6,0.093,37,0.078,14,0.067,17,0.065
54,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC26_50001-52000.txt,50,0.304,33,0.172,37,0.140,23,0.085,14,0.075,34,0.062,6,0.052
55,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC27_52001-54000.txt,50,0.311,37,0.141,33,0.109,14,0.091,34,0.078,23,0.066
56,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC28_54001-56000.txt,50,0.307,37,0.153,23,0.086,33,0.080,6,0.064,18,0.060
57,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC29_56001-58000.txt,50,0.285,37,0.164,33,0.106,18,0.092,15,0.073,23,0.069
58,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC2_2001-4000.txt,30,0.206,37,0.161,14,0.125,23,0.062,33,0.053
59,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC30_58001-60000.txt,50,0.280,37,0.145,33,0.132,15,0.071,23,0.059,14,0.059
60,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC31_60001-62000.txt,50,0.244,37,0.129,33,0.118,23,0.098,17,0.092,15,0.078,18,0.052,6,0.052
61,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC32_62001-64000.txt,50,0.237,33,0.145,37,0.132,23,0.072,14,0.060,17,0.052
62,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC33_64001-66000.txt,37,0.225,50,0.208,33,0.114,14,0.091,23,0.069
63,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC34_66001-68000.txt,4,0.230,15,0.182,50,0.174,37,0.089,33,0.072
64,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC35_68001-70000.txt,37,0.219,50,0.162,23,0.090,35,0.075,33,0.074,14,0.074,15,0.066
65,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC36_70001-72000.txt,37,0.200,50,0.179,23,0.090,32,0.068,33,0.062,39,0.054,34,0.051
66,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC37_72001-74000.txt,15,0.245,50,0.165,37,0.163,33,0.067,23,0.054,14,0.052
67,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC38_74001-76000.txt,15,0.187,50,0.172,33,0.093,37,0.091,14,0.069,23,0.060
68,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC39_76001-78000.txt,37,0.205,50,0.151,23,0.112,15,0.104,33,0.103,34,0.064
69,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC3_4001-6000.txt,30,0.288,14,0.123,6,0.113,33,0.075,50,0.064
70,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC40_78001-80000.txt,33,0.167,37,0.159,15,0.144,50,0.142,34,0.068,39,0.056
71,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC41_80001-82000.txt,37,0.231,50,0.174,34,0.105,33,0.086,15,0.077,23,0.061,14,0.057
72,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC42_82001-84000.txt,37,0.241,50,0.180,15,0.134,33,0.062,35,0.058,14,0.057,39,0.055
73,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC43_84001-86000.txt,37,0.195,50,0.162,33,0.096,35,0.085,15,0.085,14,0.062,39,0.059,23,0.059
74,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC44_86001-88000.txt,37,0.220,50,0.167,35,0.087,15,0.087,23,0.080,33,0.075,39,0.072
75,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC45_88001-90000.txt,35,0.199,37,0.174,32,0.115,50,0.096,15,0.076,23,0.058,34,0.051
76,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC46_90001-92000.txt,37,0.209,50,0.109,35,0.105,34,0.100,15,0.090,39,0.075,23,0.075,14,0.066
77,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC47_92001-94000.txt,23,0.169,37,0.144,50,0.125,15,0.107,39,0.089,33,0.086,14,0.054
78,C:\Users\Scott Kleinman\Desktop\EMECorpus\SecondModel\2000_word_chunks\BrutC48_94001-96000.txt,37,0.152,50,0.139,23,0.138,15,0.130,39,0.090,33,0.088
